sample_id,true_label,true_class,predicted_label,predicted_class,confidence,entropy,dsa,lsa,is_correct,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9
cifar_00000,0,airplane,0,airplane,0.48955230091188745,2.49050733807469,1.667145346619734,0.21177265590807695,1,0.48955230091188745,0.07636932322975282,0.006606242613398204,0.08776254731566369,0.02132790108424528,0.09261392241528053,0.022498216062460302,0.07852744850935275,0.05869658902182191,0.06604550883613712
cifar_00001,5,dog,5,dog,0.47855863644305,2.0199408191850083,0.6006411008601797,0.9881191116166747,1,0.0037538980660401415,0.0015116949417260297,0.005887224800002398,0.17824465942373896,0.014708164725458262,0.47855863644305,0.030234557823557755,0.0022880270895190243,0.05486074694370977,0.22995238974319768
cifar_00002,7,horse,7,horse,0.4646666187380751,2.1142011736424404,1.4323958190927801,1.3474963172415009,1,0.04038776699698449,0.011099338738188717,0.00035164728996802546,0.0007171044293864735,0.2919379743365586,0.05987976695603852,0.01605815407325104,0.4646666187380751,0.06449771183086507,0.050403916610683955
cifar_00003,4,deer,4,deer,0.41875389949095543,2.4727391898574895,0.268557534587565,0.6331291261651422,1,0.002470846856688576,0.04087132604848502,0.13102143083163417,0.18492835908456945,0.41875389949095543,0.009820389733969844,0.06638981207218324,0.005622376975002814,0.08047396992797565,0.059647588978535775
cifar_00004,1,automobile,8,ship,0.42832398824118356,2.2920947450786624,4.132029821656214,3.7019772779941498,0,0.02345036452851474,0.07025155043663285,0.26411325083614706,0.01858518518635998,0.0005516346211227764,0.08489335976963766,0.08751451066776132,0.006855513773746288,0.42832398824118356,0.015460641938893785
cifar_00005,2,bird,2,bird,0.5007536833457492,2.400772380224118,1.0287411016311487,0.6631233645521089,1,0.03801490325061506,0.031875161547012455,0.5007536833457492,0.040311397877240814,0.017908464611550805,0.11206245348146184,0.04320806480578649,0.12291513946217514,0.006142433853271769,0.08680829776513638
cifar_00006,2,bird,2,bird,0.4737204010057674,2.3528773553434252,1.0952063319774479,1.797085914417681,1,0.002460585254207198,0.04321048859263953,0.4737204010057674,0.11654541139170557,0.07769103578527126,0.16653019447701456,0.0038675725612891394,0.028594801806619663,0.07057607519730841,0.01680343392817724
cifar_00007,4,deer,4,deer,0.40994733569497055,2.2889662952264014,1.43666184285029,0.4826661911988419,1,0.0002964445463044096,0.098363094230032,0.0002343307978435516,0.02287462991254625,0.40994733569497055,0.03799690267106871,0.0563574307714679,0.001790069468424562,0.24846724675296736,0.1236725151543748
cifar_00008,3,cat,3,cat,0.39655119441033054,2.2645973319946218,0.38299886917378867,0.7938291417368815,1,0.0006086668414732483,0.012410547619032783,0.052031590782923055,0.39655119441033054,0.1816091657873685,0.08170198711903702,0.0030500448026881395,0.00032162618626600906,0.23825619660337718,0.03345897984750358
cifar_00009,5,dog,7,horse,0.47284087010102743,2.1563829107036097,1.608706554608976,3.984237237275702,0,0.05148643136627094,0.17061239671763878,0.0008734492840670722,0.03976258612840667,0.04791803225632981,0.0010991545953719936,0.0024191599969037047,0.47284087010102743,0.015164245388311478,0.19782367416567206
cifar_00010,0,airplane,0,airplane,0.4527527276439468,2.362906042058951,0.7580519574654775,1.018324000925488,1,0.4527527276439468,0.07873057398515622,0.011149309819988946,0.022511668678195585,0.001968047188337817,0.013650605598146306,0.11640829973219478,0.020134615757647904,0.10484430635409296,0.17784984524229266
cifar_00011,5,dog,5,dog,0.49230946188803204,2.2500834522379587,0.43547116241722145,0.30037055965549103,1,0.0064660255431648545,0.11616677055500543,0.0019439284611558892,0.1870667457402933,0.0399546160856592,0.49230946188803204,0.022181179937954945,0.01893532885246387,0.08550696887965033,0.029468974056620186
cifar_00012,8,ship,4,deer,0.3633507066542686,2.360811950601424,2.2070811464125177,2.869101931245869,0,0.2655305246054538,0.015604489710342784,0.0025926151843263037,0.03013202388664401,0.3633507066542686,0.009292240174757951,0.027202401507000994,0.18527389485434076,0.08444777435489094,0.01657332906797381
cifar_00013,9,truck,9,truck,0.5144191894156004,2.063786131949205,0.9573982717309489,1.6549707180673157,1,0.016707103094418134,0.15637251490819357,0.11333897709445169,0.0019456738660547687,0.01760183034877039,0.007645751947438363,0.009020797649593322,0.005678786788521544,0.1572693748869578,0.5144191894156004
cifar_00014,1,automobile,1,automobile,0.46648431967166565,2.3659222597858687,0.5604371650240114,1.5548849407365175,1,0.021020439284052356,0.46648431967166565,0.014398294304447869,0.15276708600724803,0.15767080281728843,0.06361332530600858,0.07687767773558146,0.02142447243081027,0.01913344198352946,0.00661014045936795
cifar_00015,1,automobile,1,automobile,0.40826210077500175,2.2064204546766213,1.016611863896284,1.1209793720991805,1,0.0018906905624977688,0.40826210077500175,0.00555701329202052,0.004222477853282116,0.031924087564716944,0.025782882779173236,0.27281135626766084,0.0905388950233114,0.15114033210798697,0.007870163774348394
